Galaxy identifier,Assumed distance (Mpc),Galactocentric radius (kpc),Galactocentric radius (m),Observed circular velocity (km/s),Observed circular velocity (m/s),Uncertainy in v obs (km/s),Gas velocity contribution (km/s),Gas velocity contribution (m/s),Disk velocity contribution (km/s),Disk velocity contribution (m/s),Bulge velocity contribution (km/s),Bulge velocity contribution (m/s),Disk surface brightness (solLum/pc2),Bulge surface brightness (solLum/pc2)
F568-3,82.4,4.6,1.41956E+20,82.3,82300,6.2,6.86,6860,46.43,46430,0,0,21.07,0
F568-3,82.4,5.14,1.5862E+20,85.7,85700,6.3,8.92,8920,47.19,47190,0,0,19.58,0
F568-3,82.4,5.39,1.66335E+20,85.5,85500,6.51,9.95,9950,47.91,47910,0,0,19.11,0
F568-3,82.4,6.31,1.94727E+20,89.5,89500,15.6,14.48,14480,50.48,50480,0,0,14.95,0
F568-3,82.4,9.1,2.80826E+20,95.2,95200,15.5,26.69,26690,51.31,51310,0,0,7.98,0
F568-3,82.4,10.17,3.13846E+20,97.5,97500,6.2,29.9,29900,52.01,52010,0,0,6.77,0
F568-3,82.4,11.99,3.70011E+20,101,101000,10.2,33.72,33720,51.6,51600,0,0,4.47,0
F568-3,82.4,14.02,4.32657E+20,107,107000,10.7,36.41,36410,50.13,50130,0,0,3.11,0
F568-3,82.4,15.94,4.91908E+20,117,117000,11.7,38.69,38690,49.27,49270,0,0,2.41,0
F568-3,82.4,17.98,5.54863E+20,120,120000,12,39,39000,48.97,48970,0,0,1.66,0
F568-V1,80.6,0.39,1.20354E+19,17.4,17400,30.4,-1.11,-1110,12.25,12250,0,0,99.83,0
F568-V1,80.6,1.18,3.64148E+19,46.3,46300,37.1,-2.76,-2760,28.99,28990,0,0,60.79,0
F568-V1,80.6,1.95,6.0177E+19,69.1,69100,13.1,-2.63,-2630,34.78,34780,0,0,34.2,0
F568-V1,80.6,2.74,8.45564E+19,85.2,85200,6.2,-0.03,-30,37.08,37080,0,0,27.14,0
F568-V1,80.6,3.53,1.08936E+20,93.2,93200,6.2,3.84,3840,41.2,41200,0,0,22.68,0
F568-V1,80.6,4.3,1.32698E+20,100,100000,12.4,7.34,7340,44.37,44370,0,0,16.78,0
F568-V1,80.6,5.09,1.57077E+20,108,108000,6.2,9.92,9920,45.35,45350,0,0,11.52,0
F568-V1,80.6,5.87,1.81148E+20,112,112000,6.2,12.15,12150,44.94,44940,0,0,9.36,0
F568-V1,80.6,6.4,1.97504E+20,113,113000,24.9,13.65,13650,45.12,45120,0,0,8.08,0
F568-V1,80.6,7.44,2.29598E+20,113,113000,15.5,17.06,17060,45.76,45760,0,0,6.21,0
F568-V1,80.6,8.21,2.53361E+20,112,112000,13.1,19.87,19870,46.01,46010,0,0,4.32,0
F568-V1,80.6,9,2.7774E+20,111,111000,26.4,22.99,22990,44.52,44520,0,0,3.01,0
F568-V1,80.6,9.72,2.99959E+20,111,111000,19.4,26.1,26100,43.69,43690,0,0,2.45,0
F568-V1,80.6,11.79,3.63839E+20,113,113000,12.5,34.23,34230,40.77,40770,0,0,1.17,0
F568-V1,80.6,17.63,5.44062E+20,118,118000,14.6,36.03,36030,33.12,33120,0,0,0,0
F571-8,53.3,0.22,6.7892E+18,12.4,12400,7,0.92,920,38.29,38290,0,0,1846.57,0
F571-8,53.3,0.78,2.40708E+19,37.5,37500,4,2.67,2670,85.69,85690,0,0,705.48,0
F571-8,53.3,1.33,4.10438E+19,56.5,56500,4,3.9,3900,104,104000,0,0,403.21,0
F571-8,53.3,2.33,7.19038E+19,69.1,69100,4,5.34,5340,114.45,114450,0,0,121.25,0
F571-8,53.3,3.44,1.06158E+20,85.5,85500,7.5,7.09,7090,107.32,107320,0,0,35.98,0
F571-8,53.3,3.78,1.16651E+20,87.1,87100,8.4,7.29,7290,103.7,103700,0,0,25.02,0
F571-8,53.3,4.77,1.47202E+20,105,105000,4,8.42,8420,92.03,92030,0,0,8.51,0
F571-8,53.3,5.44,1.67878E+20,112,112000,6.7,8.94,8940,86.43,86430,0,0,6.64,0
F571-8,53.3,6.11,1.88555E+20,116,116000,4,9.45,9450,81.42,81420,0,0,6.17,0
F571-8,53.3,7.22,2.22809E+20,124,124000,4,10.47,10470,76.23,76230,0,0,5.4,0
F571-8,53.3,9.33,2.87924E+20,135,135000,4,11.28,11280,68.45,68450,0,0,2.8,0
F571-8,53.3,11.1,3.42546E+20,140,140000,4,11.8,11800,64.24,64240,0,0,1.77,0
F571-8,53.3,15.55,4.79873E+20,144,144000,5,11.28,11280,55.43,55430,0,0,0,0
F571-V1,80.1,1.95,6.0177E+19,32,32000,10,7.85,7850,23.82,23820,0,0,23.44,0
F571-V1,80.1,3.88,1.19737E+20,57.6,57600,10,15.1,15100,35.57,35570,0,0,10.77,0
F571-V1,80.1,5.83,1.79914E+20,70.9,70900,7,20.84,20840,33.21,33210,0,0,4.16,0
F571-V1,80.1,7.78,2.40091E+20,77,77000,6,25.68,25680,32.58,32580,0,0,2.09,0
F571-V1,80.1,9.72,2.99959E+20,82.5,82500,6,29.5,29500,31.97,31970,0,0,1.23,0
F571-V1,80.1,11.66,3.59828E+20,84.3,84300,6,30.81,30810,29.08,29080,0,0,0.46,0
F571-V1,80.1,13.59,4.19387E+20,83.9,83900,6,28.8,28800,26.58,26580,0,0,0,0
F574-1,96.8,0.47,1.45042E+19,15.3,15300,4.4,0.25,250,12.99,12990,0,0,104.59,0
F574-1,96.8,1.41,4.35126E+19,41,41000,4.36,0.88,880,32.88,32880,0,0,69.17,0
F574-1,96.8,2.35,7.2521E+19,60.7,60700,4.4,1.88,1880,41.13,41130,0,0,36.87,0
F574-1,96.8,3.29,1.01529E+20,74.9,74900,4.4,3.41,3410,42.43,42430,0,0,24.85,0
F574-1,96.8,4.22,1.30229E+20,83,83000,6.28,5.43,5430,44.37,44370,0,0,21.2,0
F574-1,96.8,5.17,1.59546E+20,86.8,86800,4.4,7.8,7800,46.69,46690,0,0,16.81,0
F574-1,96.8,6.11,1.88555E+20,89.4,89400,4.4,10.44,10440,48.85,48850,0,0,13.72,0
F574-1,96.8,7.05,2.17563E+20,92.5,92500,4.4,13.15,13150,49.34,49340,0,0,10.54,0
F574-1,96.8,7.99,2.46571E+20,94.7,94700,4.4,16.07,16070,50.15,50150,0,0,8.66,0
F574-1,96.8,8.92,2.75271E+20,96.3,96300,4.4,18.98,18980,49.17,49170,0,0,6.85,0
F574-1,96.8,9.87,3.04588E+20,97.8,97800,4.4,21.99,21990,49.76,49760,0,0,6.33,0
F574-1,96.8,10.79,3.32979E+20,98.8,98800,4.62,25,25000,50.33,50330,0,0,5.29,0
F574-1,96.8,11.8,3.64148E+20,99.5,99500,4.4,27.82,27820,50.68,50680,0,0,4.09,0
F574-1,96.8,12.6,3.88836E+20,99.7,99700,5.14,30.02,30020,50.19,50190,0,0,3.23,0
F574-2,89.1,2.17,6.69662E+19,12.6,12600,10,-8.64,-8640,21.61,21610,0,0,19.17,0
F574-2,89.1,4.32,1.33315E+20,23,23000,10,-7.74,-7740,27.24,27240,0,0,9.84,0
F574-2,89.1,6.49,2.00281E+20,30,30000,8,15.6,15600,34,34000,0,0,6.78,0
F574-2,89.1,8.65,2.66939E+20,36,36000,8,23.65,23650,34.44,34440,0,0,4.16,0
F574-2,89.1,10.83,3.34214E+20,40,40000,8,28.17,28170,36.32,36320,0,0,2.72,0
F579-V1,89.5,0.42,1.29612E+19,35.7,35700,9.1,-1.7,-1700,15.39,15390,0,0,166.94,0
F579-V1,89.5,1.47,4.53642E+19,83.3,83300,9.3,-4.3,-4300,40.7,40700,0,0,105.56,0
F579-V1,89.5,2.11,6.51146E+19,94.2,94200,10.4,-3.8,-3800,48.7,48700,0,0,77.92,0
F579-V1,89.5,2.84,8.76424E+19,97.6,97600,9.1,-0.8,-800,53.6,53600,0,0,57.77,0
F579-V1,89.5,3.9,1.20354E+20,101,101000,9.1,5.9,5900,57.61,57610,0,0,47.14,0
F579-V1,89.5,4.74,1.46276E+20,105,105000,16.7,10.47,10470,63.1,63100,0,0,41.35,0
F579-V1,89.5,5.69,1.75593E+20,106,106000,9.1,13.24,13240,67.96,67960,0,0,32.17,0
F579-V1,89.5,6.32,1.95035E+20,108,108000,11.5,14.88,14880,69.85,69850,0,0,27.41,0
F579-V1,89.5,7.37,2.27438E+20,110,110000,23,17.96,17960,72.36,72360,0,0,20.81,0
F579-V1,89.5,8.21,2.53361E+20,112,112000,19.7,20.83,20830,72.55,72550,0,0,16.56,0
F579-V1,89.5,9.16,2.82678E+20,113,113000,9.1,23.19,23190,73.73,73730,0,0,13.22,0
F579-V1,89.5,10.85,3.34831E+20,114,114000,9.1,26.37,26370,73.37,73370,0,0,7.53,0
F579-V1,89.5,12.21,3.76801E+20,114,114000,9.1,28.32,28320,69.96,69960,0,0,4.36,0
F579-V1,89.5,15.16,4.67838E+20,114,114000,11.2,33.04,33040,63.57,63570,0,0,1.75,0
F583-1,35.4,0.26,8.0236E+18,14.6,14600,13,-0.5,-500,5.06,5060,0,0,34.28,0
F583-1,35.4,0.44,1.35784E+19,10,10000,7,-0.86,-860,8.17,8170,0,0,31.74,0
F583-1,35.4,0.77,2.37622E+19,10.7,10700,7.13,-1.55,-1550,13.14,13140,0,0,26.03,0
F583-1,35.4,0.89,2.74654E+19,17.4,17400,9.6,-1.78,-1780,14.55,14550,0,0,23.16,0
F583-1,35.4,1.22,3.76492E+19,23.5,23500,11.2,-2.43,-2430,17.29,17290,0,0,17.48,0
F583-1,35.4,1.55,4.7833E+19,31,31000,5.2,-2.98,-2980,18.37,18370,0,0,11.3,0
F583-1,35.4,1.8,5.5548E+19,32.3,32300,2.41,-3.18,-3180,18.25,18250,0,0,10.51,0
F583-1,35.4,2.21,6.82006E+19,40.9,40900,5.9,-3.53,-3530,19.06,19060,0,0,10.14,0
F583-1,35.4,2.31,7.12866E+19,43.8,43800,4.26,-3.66,-3660,19.39,19390,0,0,9.91,0
F583-1,35.4,2.54,7.83844E+19,44.8,44800,4.5,-4.08,-4080,20.16,20160,0,0,9.2,0
F583-1,35.4,3.1,9.5666E+19,51.7,51700,12.7,-5.16,-5160,22.16,22160,0,0,8.56,0
F583-1,35.4,3.43,1.0585E+20,55.7,55700,4.5,-4.94,-4940,23.71,23710,0,0,7.6,0
F583-1,35.4,3.86,1.1912E+20,59.4,59400,9.85,-3.07,-3070,24.94,24940,0,0,6.05,0
F583-1,35.4,4.09,1.26217E+20,62,62000,4.5,1.31,1310,25.34,25340,0,0,5.43,0
F583-1,35.4,4.37,1.34858E+20,63,63000,3.2,4.42,4420,25.74,25740,0,0,4.75,0
F583-1,35.4,4.76,1.46894E+20,66.6,66600,6.9,7.13,7130,26.09,26090,0,0,3.9,0
F583-1,35.4,5.4,1.66644E+20,71.3,71300,2.95,11.25,11250,26.17,26170,0,0,2.77,0
F583-1,35.4,5.86,1.8084E+20,72.3,72300,15.5,13.88,13880,25.92,25920,0,0,2.15,0
F583-1,35.4,6.08,1.87629E+20,73.4,73400,6,14.94,14940,25.73,25730,0,0,1.92,0
F583-1,35.4,6.43,1.9843E+20,72.4,72400,5.81,16.72,16720,25.39,25390,0,0,1.61,0
F583-1,35.4,6.97,2.15094E+20,77.1,77100,12.1,19.67,19670,24.74,24740,0,0,1.25,0
F583-1,35.4,7.96,2.45646E+20,80.3,80300,13.5,24.09,24090,23.76,23760,0,0,0.92,0
F583-1,35.4,10.29,3.17549E+20,84.7,84700,6,31.66,31660,22.09,22090,0,0,0.37,0
F583-1,35.4,15.49,4.78021E+20,86.9,86900,5.6,39.34,39340,17.78,17780,0,0,0,0
F583-1,35.4,16.26,5.01784E+20,85.8,85800,8.6,39.55,39550,17.09,17090,0,0,0,0
F583-4,53.3,0.22,6.7892E+18,10.7,10700,4.9,0.47,470,5.59,5590,0,0,69.18,0
F583-4,53.3,0.76,2.34536E+19,24.7,24700,4.9,1.87,1870,17.63,17630,0,0,60.07,0
F583-4,53.3,1.31,4.04266E+19,38.9,38900,4.9,3.27,3270,26.64,26640,0,0,42.04,0
F583-4,53.3,1.94,5.98684E+19,42.7,42700,7.89,4.87,4870,32.27,32270,0,0,31.07,0
F583-4,53.3,3.92,1.20971E+20,55,55000,4.9,8.5,8500,38.26,38260,0,0,9.64,0
F583-4,53.3,4.35,1.34241E+20,57.2,57200,4.9,9.17,9170,38.43,38430,0,0,8.68,0
F583-4,53.3,5,1.543E+20,59.8,59800,4.9,10.3,10300,39.09,39090,0,0,6.38,0
F583-4,53.3,5.05,1.55843E+20,62.5,62500,3.43,10.4,10400,39.06,39060,0,0,6.2,0
F583-4,53.3,5.83,1.79914E+20,61.8,61800,3.98,12.1,12100,38.38,38380,0,0,3.7,0
F583-4,53.3,6.09,1.87937E+20,64.4,64400,4.9,12.72,12720,38.13,38130,0,0,3.52,0
F583-4,53.3,6.74,2.07996E+20,67.2,67200,4.9,14.18,14180,39.23,39230,0,0,2.89,0
F583-4,53.3,7.29,2.24969E+20,69.9,69900,4.9,15.33,15330,36.96,36960,0,0,0,0
IC2574,3.91,0.85,2.6231E+19,10.3,10300,0.2,0,0,9.59,9590,0,0,16.75,0
IC2574,3.91,1.14,3.51804E+19,12.9,12900,2.7,0,0,11.99,11990,0,0,14.92,0
IC2574,3.91,1.42,4.38212E+19,16.4,16400,1.8,0.94,940,13.83,13830,0,0,13.07,0
IC2574,3.91,1.71,5.27706E+19,18.6,18600,2.1,3.44,3440,15.27,15270,0,0,11.58,0
IC2574,3.91,1.99,6.14114E+19,19.8,19800,2,5.14,5140,16.76,16760,0,0,10.8,0
IC2574,3.91,2.28,7.03608E+19,26.1,26100,0.6,5.82,5820,17.77,17770,0,0,9.24,0
IC2574,3.91,2.55,7.8693E+19,27.7,27700,2.7,6.87,6870,18.7,18700,0,0,8.42,0
IC2574,3.91,2.84,8.76424E+19,29.7,29700,2.6,7.58,7580,19.36,19360,0,0,7.37,0
IC2574,3.91,3.13,9.65918E+19,33,33000,3.4,8.21,8210,19.89,19890,0,0,6.93,0
IC2574,3.91,3.41,1.05233E+20,34.8,34800,1.2,8.78,8780,20.19,20190,0,0,5.88,0
IC2574,3.91,3.7,1.14182E+20,35,35000,0.9,8.64,8640,20.15,20150,0,0,5.69,0
IC2574,3.91,3.98,1.22823E+20,39,39000,10.2,7.98,7980,20.39,20390,0,0,5.87,0
IC2574,3.91,4.26,1.31464E+20,35.9,35900,5.4,7.97,7970,21.28,21280,0,0,6.08,0
IC2574,3.91,4.55,1.40413E+20,40,40000,4.1,10.01,10010,22.72,22720,0,0,6.5,0
IC2574,3.91,4.84,1.49362E+20,38.7,38700,1.4,11.42,11420,24.6,24600,0,0,5.76,0
IC2574,3.91,5.12,1.58003E+20,41.8,41800,0.5,12.67,12670,25.34,25340,0,0,4.6,0
IC2574,3.91,5.41,1.66953E+20,42.9,42900,0.4,13.13,13130,25.74,25740,0,0,4.3,0
IC2574,3.91,5.68,1.75285E+20,44.4,44400,1.7,13.93,13930,26.48,26480,0,0,4.03,0
IC2574,3.91,5.97,1.84234E+20,46.1,46100,1.3,14.5,14500,27.15,27150,0,0,3.42,0
IC2574,3.91,6.26,1.93184E+20,49,49000,0.9,15.98,15980,27.39,27390,0,0,2.76,0
IC2574,3.91,6.54,2.01824E+20,51.9,51900,0.6,17.58,17580,27.31,27310,0,0,2.14,0
IC2574,3.91,6.83,2.10774E+20,53.1,53100,2.1,18.38,18380,26.75,26750,0,0,1.67,0
IC2574,3.91,7.1,2.19106E+20,54,54000,0.5,19.29,19290,26.25,26250,0,0,1.55,0
IC2574,3.91,7.39,2.28055E+20,55.9,55900,1.1,19.86,19860,26.04,26040,0,0,1.54,0
IC2574,3.91,7.68,2.37005E+20,58.8,58800,3.6,21.01,21010,25.86,25860,0,0,1.4,0
IC2574,3.91,7.96,2.45646E+20,57.3,57300,4.6,21.81,21810,25.77,25770,0,0,1.25,0
IC2574,3.91,8.25,2.54595E+20,54,54000,9,22.49,22490,25.57,25570,0,0,1.12,0
IC2574,3.91,8.52,2.62927E+20,63.8,63800,12,22.38,22380,25.47,25470,0,0,1.02,0
IC2574,3.91,8.81,2.71877E+20,60.5,60500,6.2,22.6,22600,25.41,25410,0,0,0.92,0
IC2574,3.91,9.1,2.80826E+20,61,61000,5.7,22.95,22950,25.38,25380,0,0,0.83,0
IC2574,3.91,9.38,2.89467E+20,66,66000,1.3,23.63,23630,25.51,25510,0,0,0.75,0
IC2574,3.91,9.67,2.98416E+20,65.2,65200,3.4,24.89,24890,25.74,25740,0,0,0.67,0
IC2574,3.91,9.96,3.07366E+20,67.1,67100,4.7,25.8,25800,24.84,24840,0,0,0,0
IC2574,3.91,10.23,3.15698E+20,67.5,67500,9.3,27.17,27170,23.97,23970,0,0,0,0
IC4202,100.4,0.77,2.37622E+19,35.1,35100,3.96,2.22,2220,20.98,20980,133.76,133760,335.17,2678.7
IC4202,100.4,1.59,4.90674E+19,77.9,77900,3.95,3.89,3890,40.96,40960,176.62,176620,322.39,948.63
IC4202,100.4,2.36,7.28296E+19,115,115000,6.7,4.02,4020,58.24,58240,176.92,176920,310.83,463.05
IC4202,100.4,3.13,9.65918E+19,156,156000,3.16,0.9,900,74.68,74680,172.53,172530,299.69,349.2
IC4202,100.4,3.95,1.21897E+20,192,192000,3.14,0,0,91.45,91450,173.49,173490,288.26,188.22
IC4202,100.4,4.73,1.45968E+20,204,204000,2.9,0,0,107.35,107350,174.08,174080,276.77,83.53
IC4202,100.4,5.5,1.6973E+20,209,209000,3.36,0,0,120.52,120520,167.74,167740,257.54,24.93
IC4202,100.4,6.27,1.93492E+20,220,220000,3.25,0,0,132.68,132680,159.21,159210,255.77,7.38
IC4202,100.4,7.08,2.18489E+20,231,231000,3.49,0,0,150.86,150860,150.44,150440,254.06,2.06
IC4202,100.4,7.86,2.4256E+20,235,235000,4.65,0.24,240,170.8,170800,142.84,142840,239.48,0.6
IC4202,100.4,8.66,2.67248E+20,245,245000,6,0,0,187.59,187590,136.33,136330,211.03,0.17
IC4202,100.4,9.45,2.91627E+20,246,246000,5.57,3.8,3800,199.82,199820,130.53,130530,180.74,0.05
IC4202,100.4,10.24,3.16006E+20,239,239000,6.95,0,0,208.12,208120,125.41,125410,151.13,0.01
IC4202,100.4,11.02,3.40077E+20,240,240000,7.16,3.35,3350,212.98,212980,120.9,120900,124.69,0
IC4202,100.4,11.79,3.63839E+20,240,240000,4.85,15.63,15630,214.9,214900,116.92,116920,101.97,0
IC4202,100.4,12.47,3.84824E+20,246,246000,7.68,22.51,22510,214.77,214770,113.67,113670,85.47,0
IC4202,100.4,13.34,4.11672E+20,241,241000,6.21,30.77,30770,213.03,213030,109.94,109940,69.15,0
IC4202,100.4,14.11,4.35435E+20,250,250000,5.62,37.16,37160,210.67,210670,106.85,106850,58.36,0
IC4202,100.4,14.59,4.50247E+20,242,242000,5.1,39.71,39710,209.26,209260,105.08,105080,53,0
IC4202,100.4,14.98,4.62283E+20,244,244000,7.41,41.88,41880,208.03,208030,103.7,103700,48.81,0
IC4202,100.4,15.75,4.86045E+20,248,248000,5.08,44.73,44730,205.55,205550,101.13,101130,41.91,0
IC4202,100.4,16.52,5.09807E+20,249,249000,5.22,46.3,46300,203.07,203070,98.75,98750,35.71,0
IC4202,100.4,17.1,5.27706E+20,246,246000,6.35,46.79,46790,201.06,201060,97.06,97060,31.62,0
IC4202,100.4,17.88,5.51777E+20,241,241000,16.2,46.99,46990,198.19,198190,94.92,94920,26.82,0
IC4202,100.4,18.65,5.75539E+20,247,247000,14.6,47.18,47180,195.23,195230,92.94,92940,22.81,0
IC4202,100.4,19.62,6.05473E+20,234,234000,20.9,47.77,47770,191.47,191470,90.61,90610,18.65,0
IC4202,100.4,20.78,6.41271E+20,249,249000,10,51.51,51510,186.83,186830,88.05,88050,14.6,0
IC4202,100.4,22.13,6.82932E+20,236,236000,16.1,57.31,57310,181.4,181400,85.32,85320,10.95,0
IC4202,100.4,23,7.0978E+20,245,245000,22.1,59.87,59870,177.88,177880,83.69,83690,9.17,0
IC4202,100.4,23.58,7.27679E+20,243,243000,4.2,61.24,61240,175.64,175640,82.65,82650,8.14,0
IC4202,100.4,25.03,7.72426E+20,238,238000,7.76,61.05,61050,170.07,170070,80.22,80220,6.11,0
IC4202,100.4,25.9,7.99274E+20,247,247000,6.14,60.16,60160,166.98,166980,78.87,78870,5.18,0
KK98-251,6.8,0.25,7.715E+18,4.25,4250,2,1.87,1870,2.88,2880,0,0,8.69,0
KK98-251,6.8,0.41,1.26526E+19,6.84,6840,2,3.32,3320,3.93,3930,0,0,6.61,0
KK98-251,6.8,0.57,1.75902E+19,9.56,9560,2,4.8,4800,4.8,4800,0,0,6.95,0
KK98-251,6.8,0.74,2.28364E+19,12.3,12300,2,6.44,6440,6.36,6360,0,0,6.78,0
KK98-251,6.8,0.9,2.7774E+19,15.1,15100,2,8.03,8030,7.43,7430,0,0,5.71,0
KK98-251,6.8,1.07,3.30202E+19,17.5,17500,2,9.79,9790,8.56,8560,0,0,5.63,0
KK98-251,6.8,1.24,3.82664E+19,19.7,19700,2,11.57,11570,9.52,9520,0,0,4.46,0
KK98-251,6.8,1.4,4.3204E+19,21.8,21800,2,13.11,13110,10.08,10080,0,0,3.87,0
KK98-251,6.8,1.57,4.84502E+19,24.4,24400,2,14.44,14440,10.55,10550,0,0,3.42,0
KK98-251,6.8,1.72,5.30792E+19,27.3,27300,2,15.54,15540,10.95,10950,0,0,3.02,0
KK98-251,6.8,1.89,5.83254E+19,30.3,30300,2,16.53,16530,11.36,11360,0,0,2.62,0
KK98-251,6.8,2.06,6.35716E+19,32.6,32600,2,17.3,17300,11.57,11570,0,0,2.28,0
KK98-251,6.8,2.46,7.59156E+19,33.3,33300,2,18.07,18070,12.23,12230,0,0,1.69,0
KK98-251,6.8,2.79,8.60994E+19,34.6,34600,2,18.07,18070,12.94,12940,0,0,1.34,0
KK98-251,6.8,3.13,9.65918E+19,34.2,34200,2,17.41,17410,12.45,12450,0,0,0,0
NGC0024,7.3,0.21,6.4806E+18,17.4,17400,6.51,1.51,1510,18.55,18550,0,0,410.75,0
NGC0024,7.3,0.32,9.8752E+18,31,31000,8.86,2.27,2270,25.65,25650,0,0,307.43,0
NGC0024,7.3,0.43,1.32698E+19,36.1,36100,8.16,3.03,3030,29.58,29580,0,0,268.58,0
NGC0024,7.3,0.54,1.66644E+19,46,46000,8.52,3.84,3840,33.96,33960,0,0,241.26,0
NGC0024,7.3,0.64,1.97504E+19,58,58000,6.9,4.53,4530,36.83,36830,0,0,222.69,0
NGC0024,7.3,0.74,2.28364E+19,63.4,63400,9.55,5.28,5280,39.62,39620,0,0,212.03,0
NGC0024,7.3,0.85,2.6231E+19,71.9,71900,8.52,6.04,6040,43.11,43110,0,0,206.1,0
NGC0024,7.3,0.96,2.96256E+19,76.4,76400,6.82,6.8,6800,46.75,46750,0,0,191.46,0
NGC0024,7.3,1.07,3.30202E+19,78.1,78100,6.65,7.62,7620,50.04,50040,0,0,179.91,0
NGC0024,7.3,1.17,3.61062E+19,80.5,80500,6.14,8.31,8310,52.76,52760,0,0,167.35,0
NGC0024,7.3,1.28,3.95008E+19,82.8,82800,5.8,9.07,9070,55.72,55720,0,0,159.14,0
NGC0024,7.3,1.38,4.25868E+19,85.6,85600,6.48,9.82,9820,58.31,58310,0,0,150.35,0
NGC0024,7.3,1.48,4.56728E+19,88,88000,7.5,10.57,10570,61.08,61080,0,0,139.46,0
NGC0024,7.3,1.59,4.90674E+19,92,92000,8.52,11.19,11190,63.47,63470,0,0,125.67,0
NGC0024,7.3,1.7,5.2462E+19,92.4,92400,8.52,11.92,11920,65.59,65590,0,0,111.41,0
NGC0024,7.3,1.8,5.5548E+19,95.1,95100,9.2,12.54,12540,66.83,66830,0,0,99.69,0
NGC0024,7.3,1.91,5.89426E+19,96.5,96500,8.52,13.26,13260,68.03,68030,0,0,87.79,0
NGC0024,7.3,2.02,6.23372E+19,101,101000,8.86,13.88,13880,68.59,68590,0,0,77.06,0
NGC0024,7.3,2.13,6.57318E+19,99.9,99900,9.55,14.61,14610,69,69000,0,0,68.97,0
NGC0024,7.3,2.23,6.88178E+19,103,103000,8.18,15.23,15230,69.17,69170,0,0,63.99,0
NGC0024,7.3,2.34,7.22124E+19,104,104000,8.52,15.96,15960,69.56,69560,0,0,57.94,0
NGC0024,7.3,2.44,7.52984E+19,107,107000,9.2,16.58,16580,69.75,69750,0,0,52.31,0
NGC0024,7.3,2.54,7.83844E+19,107,107000,9.55,17.3,17300,69.69,69690,0,0,47.47,0
NGC0024,7.3,2.65,8.1779E+19,106,106000,11.2,17.92,17920,69.65,69650,0,0,43.16,0
NGC0024,7.3,2.76,8.51736E+19,107,107000,11.2,18.55,18550,69.52,69520,0,0,39.28,0
NGC0024,7.3,7.07,2.1818E+20,104,104000,3.11,26.32,26320,52.21,52210,0,0,1.7,0
NGC0024,7.3,8.49,2.62001E+20,106,106000,2.55,24.76,24760,47.19,47190,0,0,0.49,0
NGC0024,7.3,9.91,3.05823E+20,109,109000,4.95,22.59,22590,43.11,43110,0,0,0.19,0
NGC0024,7.3,11.27,3.47792E+20,110,110000,2.83,20.52,20520,40.05,40050,0,0,0,0
NGC0055,2.11,1.23,3.79578E+19,28.7,28700,3.4,13.65,13650,27.5,27500,0,0,58,0
NGC0055,2.11,1.84,5.67824E+19,37.6,37600,2.6,18.65,18650,32.63,32630,0,0,38.02,0
NGC0055,2.11,2.46,7.59156E+19,43.1,43100,1.2,21.85,21850,36.38,36380,0,0,29.5,0
NGC0055,2.11,3.07,9.47402E+19,50.1,50100,2.8,25.04,25040,38.7,38700,0,0,21.65,0
NGC0055,2.11,3.68,1.13565E+20,58.1,58100,4.5,28.73,28730,39.68,39680,0,0,16.32,0
NGC0055,2.11,4.3,1.32698E+20,64.6,64600,4.1,32.28,32280,39.98,39980,0,0,13.06,0
NGC0055,2.11,4.91,1.51523E+20,68.5,68500,2.7,34.59,34590,39.99,39990,0,0,10.93,0
NGC0055,2.11,5.52,1.70347E+20,72.3,72300,0.8,36.37,36370,39.87,39870,0,0,9.36,0
NGC0055,2.11,6.14,1.8948E+20,74.2,74200,2.4,37.73,37730,39.71,39710,0,0,8.35,0
NGC0055,2.11,6.75,2.08305E+20,78.9,78900,2.6,38.68,38680,39.75,39750,0,0,7.82,0
NGC0055,2.11,7.37,2.27438E+20,82.4,82400,2.3,39.3,39300,40.35,40350,0,0,7.39,0
NGC0055,2.11,7.98,2.46263E+20,84.3,84300,4.8,39.72,39720,41.04,41040,0,0,6.69,0
NGC0055,2.11,8.59,2.65087E+20,85.4,85400,7.3,40.39,40390,41.57,41570,0,0,5.95,0
NGC0055,2.11,9.21,2.84221E+20,85.3,85300,4.6,40.44,40440,42.03,42030,0,0,5.36,0
NGC0055,2.11,9.82,3.03045E+20,86.8,86800,4,39.94,39940,42.44,42440,0,0,4.85,0
NGC0055,2.11,10.43,3.2187E+20,85.4,85400,5.7,39.15,39150,42.87,42870,0,0,4.39,0
NGC0055,2.11,11.05,3.41003E+20,85.4,85400,7,37.71,37710,43.32,43320,0,0,3.97,0
NGC0055,2.11,11.66,3.59828E+20,86.2,86200,4.1,36.23,36230,43.95,43950,0,0,3.59,0
NGC0055,2.11,12.28,3.78961E+20,86.1,86100,6.2,35.41,35410,44.71,44710,0,0,3.25,0
NGC0055,2.11,12.89,3.97785E+20,87.4,87400,2.5,34.67,34670,45.88,45880,0,0,2.94,0
NGC0055,2.11,13.5,4.1661E+20,86.5,86500,5.5,33.61,33610,48,48000,0,0,0,0
NGC0100,13.5,0.23,7.0978E+18,6.81,6810,8.19,-0.86,-860,9.67,9670,0,0,142.64,0
NGC0100,13.5,0.69,2.12934E+19,20,20000,4.09,-1.93,-1930,23.77,23770,0,0,114.33,0
